key,value,date
64N.90N,-29,1974
64N.90N,22,1975
64N.90N,-4,1976
64N.90N,24,1977
64N.90N,-8,1978
64N.90N,-59,1979
64N.90N,32,1980
64N.90N,129,1981
64N.90N,-27,1982
64N.90N,32,1983
64N.90N,39,1984
64N.90N,41,1985
64N.90N,7,1986
64N.90N,-26,1987
64N.90N,75,1988
64N.90N,40,1989
64N.90N,60,1990
64N.90N,74,1991
64N.90N,-19,1992
64N.90N,63,1993
64N.90N,36,1994
64N.90N,140,1995
64N.90N,79,1996
64N.90N,78,1997
64N.90N,91,1998
64N.90N,47,1999
64N.90N,110,2000
64N.90N,104,2001
64N.90N,126,2002
64N.90N,143,2003
64N.90N,64,2004
64N.90N,200,2005
64N.90N,173,2006
64N.90N,201,2007
64N.90N,144,2008
64N.90N,127,2009
64N.90N,199,2010
64N.90N,211,2011
64N.90N,189,2012
64N.90N,123,2013
64N.90N,185,2014
44N.64N,-54,1880
44N.64N,-40,1881
44N.64N,-20,1882
44N.64N,-57,1883
44N.64N,-58,1884
44N.64N,-70,1885
44N.64N,-43,1886
44N.64N,-52,1887
44N.64N,-43,1888
44N.64N,-13,1889
44N.64N,-41,1890
44N.64N,-17,1891
44N.64N,-30,1892
44N.64N,-35,1893
44N.64N,-17,1894
44N.64N,-38,1895
44N.64N,-34,1896
44N.64N,-31,1897
44N.64N,-2,1898
44N.64N,4,1899
44N.64N,-3,1900
44N.64N,-1,1901
44N.64N,-40,1902
44N.64N,-30,1903
44N.64N,-53,1904
44N.64N,-16,1905
44N.64N,4,1906
44N.64N,-69,1907
44N.64N,-50,1908
44N.64N,-49,1909
44N.64N,-13,1910
44N.64N,-36,1911
44N.64N,-70,1912
44N.64N,-27,1913
44N.64N,-6,1914
44N.64N,-6,1915
44N.64N,-43,1916
44N.64N,-39,1917
44N.64N,-13,1918
44N.64N,-44,1919
44N.64N,-8,1920
44N.64N,24,1921
44N.64N,-31,1922
44N.64N,-3,1923
44N.64N,-15,1924
44N.64N,27,1925
44N.64N,25,1926
44N.64N,-12,1927
44N.64N,-7,1928
44N.64N,-50,1929
44N.64N,16,1930
44N.64N,8,1931
44N.64N,31,1932
44N.64N,-38,1933
44N.64N,40,1934
44N.64N,7,1935
44N.64N,18,1936
44N.64N,8,1937
44N.64N,44,1938
44N.64N,33,1939
44N.64N,3,1940
44N.64N,-11,1941
44N.64N,0,1942
44N.64N,33,1943
44N.64N,50,1944
44N.64N,-1,1945
44N.64N,2,1946
44N.64N,-15,1947
44N.64N,36,1948
44N.64N,17,1949
44N.64N,-34,1950
44N.64N,3,1951
44N.64N,-7,1952
44N.64N,37,1953
44N.64N,-20,1954
44N.64N,-7,1955
44N.64N,-47,1956
44N.64N,22,1957
44N.64N,18,1958
44N.64N,17,1959
44N.64N,-6,1960
44N.64N,37,1961
44N.64N,34,1962
44N.64N,32,1963
44N.64N,-22,1964
44N.64N,-24,1965
44N.64N,-16,1966
44N.64N,26,1967
44N.64N,-2,1968
44N.64N,-59,1969
44N.64N,-14,1970
44N.64N,0,1971
44N.64N,-49,1972
44N.64N,26,1973
44N.64N,-11,1974
44N.64N,35,1975
44N.64N,-33,1976
44N.64N,22,1977
44N.64N,0,1978
44N.64N,6,1979
44N.64N,1,1980
44N.64N,77,1981
44N.64N,7,1982
44N.64N,67,1983
44N.64N,7,1984
44N.64N,-27,1985
44N.64N,24,1986
44N.64N,13,1987
44N.64N,49,1988
44N.64N,67,1989
44N.64N,83,1990
44N.64N,59,1991
44N.64N,37,1992
44N.64N,23,1993
44N.64N,46,1994
44N.64N,95,1995
44N.64N,19,1996
44N.64N,87,1997
44N.64N,92,1998
44N.64N,82,1999
44N.64N,75,2000
44N.64N,81,2001
44N.64N,96,2002
44N.64N,94,2003
44N.64N,92,2004
44N.64N,116,2005
44N.64N,105,2006
44N.64N,129,2007
44N.64N,102,2008
44N.64N,58,2009
44N.64N,86,2010
44N.64N,90,2011
44N.64N,89,2012
44N.64N,103,2013
44N.64N,113,2014
24N.44N,-22,1880
24N.44N,-14,1881
24N.44N,-3,1882
24N.44N,-20,1883
24N.44N,-41,1884
24N.44N,-43,1885
24N.44N,-38,1886
24N.44N,-21,1887
24N.44N,-22,1888
24N.44N,-21,1889
24N.44N,-30,1890
24N.44N,-27,1891
24N.44N,-12,1892
24N.44N,-30,1893
24N.44N,-9,1894
24N.44N,-18,1895
24N.44N,-12,1896
24N.44N,-19,1897
24N.44N,-21,1898
24N.44N,-12,1899
24N.44N,-8,1900
24N.44N,-9,1901
24N.44N,-26,1902
24N.44N,-46,1903
24N.44N,-47,1904
24N.44N,-57,1905
24N.44N,-32,1906
24N.44N,-44,1907
24N.44N,-45,1908
24N.44N,-40,1909
24N.44N,-44,1910
24N.44N,-43,1911
24N.44N,-48,1912
24N.44N,-46,1913
24N.44N,-25,1914
24N.44N,-13,1915
24N.44N,-19,1916
24N.44N,-36,1917
24N.44N,-23,1918
24N.44N,-25,1919
24N.44N,-29,1920
24N.44N,-4,1921
24N.44N,-8,1922
